"","id_student","code_presentation","Decile","Avg_Clicks","Asgmts","Avg_Asgmt_Score","final_result"
"1","1008675","2013B",0,2.18181818181818,0,0,"Pass"
"2","1008675","2013B",1,12.3913043478261,1,70,"Pass"
"4","1008675","2013B",2,12.875,1,65,"Pass"
"5","1008675","2013B",3,7.25,1,56.6666666666667,"Pass"
"6","1008675","2013B",4,5.16666666666667,1,55.25,"Pass"
"7","1008675","2013B",5,4.33333333333333,1,64.2,"Pass"
"8","1008675","2013B",6,5.16666666666667,2,70.5714285714286,"Pass"
"9","1008675","2013B",7,7,2,73.7777777777778,"Pass"
"10","1008675","2013B",8,7.79166666666667,2,76.9090909090909,"Pass"
"11","1008675","2013B",9,3,0,76.9090909090909,"Pass"
"3","1008675","2013B",10,7.95833333333333,0,76.9090909090909,"Pass"
"12","104054","2013B",0,3,0,0,"Distinction"
"13","104054","2013B",1,21.0434782608696,1,87,"Distinction"
"15","104054","2013B",2,8.75,0,87,"Distinction"
"16","104054","2013B",3,3.125,2,92.3333333333333,"Distinction"
"17","104054","2013B",4,6.29166666666667,1,93.5,"Distinction"
"18","104054","2013B",5,4.66666666666667,1,94.8,"Distinction"
"19","104054","2013B",6,1.79166666666667,2,94.1428571428571,"Distinction"
"20","104054","2013B",7,5.04166666666667,2,94,"Distinction"
"21","104054","2013B",8,1.95833333333333,2,94.6363636363636,"Distinction"
"22","104054","2013B",9,1.58333333333333,0,94.6363636363636,"Distinction"
"14","104054","2013B",10,3.16666666666667,0,94.6363636363636,"Distinction"
"23","108377","2013B",0,4.22413793103448,0,0,"Pass"
"24","108377","2013B",1,27.7826086956522,1,87,"Pass"
"26","108377","2013B",2,13.9583333333333,1,85,"Pass"
"27","108377","2013B",3,13.625,1,83.3333333333333,"Pass"
"28","108377","2013B",4,7.58333333333333,1,81.75,"Pass"
"29","108377","2013B",5,4.75,1,85.4,"Pass"
"30","108377","2013B",6,3.41666666666667,2,82.7142857142857,"Pass"
"31","108377","2013B",7,6.45833333333333,2,78.4444444444444,"Pass"
"32","108377","2013B",8,1.83333333333333,1,78.6,"Pass"
"33","108377","2013B",9,0,0,78.6,"Pass"
"25","108377","2013B",10,2.79166666666667,0,78.6,"Pass"
"34","108589","2013B",0,2.125,0,0,"Pass"
"35","108589","2013B",1,4.8695652173913,1,73,"Pass"
"37","108589","2013B",2,1.45833333333333,0,73,"Pass"
"38","108589","2013B",3,0.916666666666667,2,88.3333333333333,"Pass"
"39","108589","2013B",4,3.58333333333333,1,84.5,"Pass"
"40","108589","2013B",5,1.5,1,87.6,"Pass"
"41","108589","2013B",6,1.33333333333333,2,87,"Pass"
"42","108589","2013B",7,1.08333333333333,2,88,"Pass"
"43","108589","2013B",8,0.625,2,88.7272727272727,"Pass"
"44","108589","2013B",9,0,0,88.7272727272727,"Pass"
"36","108589","2013B",10,0.291666666666667,0,88.7272727272727,"Pass"
"45","1098728","2013B",0,2.125,0,0,"Fail"
"46","1098728","2013B",1,4.26086956521739,1,75,"Fail"
"48","1098728","2013B",2,1.29166666666667,0,75,"Fail"
"49","1098728","2013B",3,2.625,1,87.5,"Fail"
"50","1098728","2013B",4,1.75,1,79.6666666666667,"Fail"
"51","1098728","2013B",5,0,1,74.75,"Fail"
"52","1098728","2013B",6,2.33333333333333,2,75.6666666666667,"Fail"
"53","1098728","2013B",7,1.375,2,70.625,"Fail"
"54","1098728","2013B",8,1,1,71.6666666666667,"Fail"
"55","1098728","2013B",9,0.0833333333333333,0,71.6666666666667,"Fail"
"47","1098728","2013B",10,0.208333333333333,0,71.6666666666667,"Fail"
"56","109938","2013B",0,0,0,0,"Distinction"
"57","109938","2013B",1,4.82608695652174,1,87,"Distinction"
"59","109938","2013B",2,1.875,1,84,"Distinction"
"60","109938","2013B",3,1.70833333333333,1,82.6666666666667,"Distinction"
"61","109938","2013B",4,1,1,83.25,"Distinction"
"62","109938","2013B",5,1.375,1,86.6,"Distinction"
"63","109938","2013B",6,1.45833333333333,2,86.1428571428571,"Distinction"
"64","109938","2013B",7,1.625,2,88.4444444444444,"Distinction"
"65","109938","2013B",8,0.25,2,89.8181818181818,"Distinction"
"66","109938","2013B",9,0.5,0,89.8181818181818,"Distinction"
