"","id_student","Decile","Avg_Clicks","Asgmts","Avg_Asgmt_Score","final_result"
"94623","1018685",0,2.13636363636364,0,0,"Fail"
"94624","1018685",1,9.39130434782609,0,0,"Fail"
"94626","1018685",2,13.875,2,41.5,"Fail"
"94627","1018685",3,0,0,41.5,"Fail"
"94628","1018685",4,0,0,41.5,"Fail"
"94629","1018685",5,0,0,41.5,"Fail"
"94630","1018685",6,0,0,41.5,"Fail"
"94631","1018685",7,0,0,41.5,"Fail"
"94632","1018685",8,0,0,41.5,"Fail"
"94633","1018685",9,0,0,41.5,"Fail"
"94625","1018685",10,0,0,41.5,"Fail"
"94634","103904",0,1.625,0,0,"Distinction"
"94635","103904",1,5.08695652173913,1,88,"Distinction"
"94637","103904",2,1.70833333333333,2,79,"Distinction"
"94638","103904",3,8.29166666666667,2,84.2,"Distinction"
"94639","103904",4,8.66666666666667,1,83.6666666666667,"Distinction"
"94640","103904",5,8.58333333333333,1,84.2857142857143,"Distinction"
"94641","103904",6,13.0416666666667,2,85.2222222222222,"Distinction"
"94642","103904",7,6.70833333333333,1,84.3,"Distinction"
"94643","103904",8,6.5,2,82.5,"Distinction"
"94644","103904",9,1.45833333333333,1,82.0769230769231,"Distinction"
"94636","103904",10,0,1,81.7857142857143,"Distinction"
"94645","1044992",0,2.14285714285714,0,0,"Pass"
"94646","1044992",1,7.82608695652174,0,0,"Pass"
"94648","1044992",2,4,2,82,"Pass"
"94649","1044992",3,8.25,2,84.75,"Pass"
"94650","1044992",4,10.875,2,84,"Pass"
"94651","1044992",5,0.916666666666667,2,84,"Pass"
"94652","1044992",6,2.875,0,84,"Pass"
"94653","1044992",7,3.79166666666667,1,82.6666666666667,"Pass"
"94654","1044992",8,0.708333333333333,1,81.1,"Pass"
"94655","1044992",9,6.75,2,80.6666666666667,"Pass"
"94647","1044992",10,1.25,1,78.7692307692308,"Pass"
"94656","1068316",0,2.54666666666667,0,0,"Pass"
"94657","1068316",1,12.4347826086957,0,0,"Pass"
"94659","1068316",2,4.29166666666667,2,68,"Pass"
"94660","1068316",3,9.625,2,71.75,"Pass"
"94661","1068316",4,9.08333333333333,2,72.3333333333333,"Pass"
"94662","1068316",5,4.20833333333333,2,68,"Pass"
"94663","1068316",6,2.625,0,68,"Pass"
"94664","1068316",7,4.875,2,62.5,"Pass"
"94665","1068316",8,8.16666666666667,1,60.8181818181818,"Pass"
"94666","1068316",9,5.125,2,58.5384615384615,"Pass"
"94658","1068316",10,7.16666666666667,1,56.9285714285714,"Pass"
"94667","1095916",0,1.95744680851064,0,0,"Pass"
"94668","1095916",1,12.695652173913,1,84,"Pass"
"94670","1095916",2,6.625,1,83.5,"Pass"
"94671","1095916",3,7.16666666666667,2,83.75,"Pass"
"94672","1095916",4,8.75,2,86.6666666666667,"Pass"
"94673","1095916",5,3.41666666666667,2,87,"Pass"
"94674","1095916",6,2.16666666666667,0,87,"Pass"
"94675","1095916",7,2.16666666666667,1,84.7777777777778,"Pass"
"94676","1095916",8,1.08333333333333,1,76.3,"Pass"
"94677","1095916",9,2.91666666666667,1,76.6363636363636,"Pass"
"94669","1095916",10,3.66666666666667,1,75.5833333333333,"Pass"
"94678","110200",0,1.66666666666667,0,0,"Fail"
"94679","110200",1,3.21739130434783,1,64,"Fail"
"94681","110200",2,0.416666666666667,1,67,"Fail"
