"","id_student","code_presentation","Decile","Avg_Clicks","Asgmts","Avg_Asgmt_Score","final_result"
"60732","1018685","2013B",0,2.13636363636364,0,0,"Fail"
"60733","1018685","2013B",1,9.39130434782609,0,0,"Fail"
"60735","1018685","2013B",2,13.875,2,41.5,"Fail"
"60736","1018685","2013B",3,0,0,41.5,"Fail"
"60737","1018685","2013B",4,0,0,41.5,"Fail"
"60738","1018685","2013B",5,0,0,41.5,"Fail"
"60739","1018685","2013B",6,0,0,41.5,"Fail"
"60740","1018685","2013B",7,0,0,41.5,"Fail"
"60741","1018685","2013B",8,0,0,41.5,"Fail"
"60742","1018685","2013B",9,0,0,41.5,"Fail"
"60734","1018685","2013B",10,0,0,41.5,"Fail"
"60743","103904","2013B",0,1.625,0,0,"Distinction"
"60744","103904","2013B",1,5.08695652173913,1,88,"Distinction"
"60746","103904","2013B",2,1.70833333333333,2,79,"Distinction"
"60747","103904","2013B",3,8.29166666666667,2,84.2,"Distinction"
"60748","103904","2013B",4,8.66666666666667,1,83.6666666666667,"Distinction"
"60749","103904","2013B",5,8.58333333333333,1,84.2857142857143,"Distinction"
"60750","103904","2013B",6,13.0416666666667,2,85.2222222222222,"Distinction"
"60751","103904","2013B",7,6.70833333333333,1,84.3,"Distinction"
"60752","103904","2013B",8,6.5,2,82.5,"Distinction"
"60753","103904","2013B",9,1.45833333333333,1,82.0769230769231,"Distinction"
"60745","103904","2013B",10,0,1,81.7857142857143,"Distinction"
"60754","1044992","2013B",0,2.14285714285714,0,0,"Pass"
"60755","1044992","2013B",1,7.82608695652174,0,0,"Pass"
"60757","1044992","2013B",2,4,2,82,"Pass"
"60758","1044992","2013B",3,8.25,2,84.75,"Pass"
"60759","1044992","2013B",4,10.875,2,84,"Pass"
"60760","1044992","2013B",5,0.916666666666667,2,84,"Pass"
"60761","1044992","2013B",6,2.875,0,84,"Pass"
"60762","1044992","2013B",7,3.79166666666667,1,82.6666666666667,"Pass"
"60763","1044992","2013B",8,0.708333333333333,1,81.1,"Pass"
"60764","1044992","2013B",9,6.75,2,80.6666666666667,"Pass"
"60756","1044992","2013B",10,1.25,1,78.7692307692308,"Pass"
"60765","1068316","2013B",0,2.54666666666667,0,0,"Pass"
"60766","1068316","2013B",1,12.4347826086957,0,0,"Pass"
