"","code_module","code_presentation","id_student","num_of_prev_attempts","studied_credits","gender_M","gender_F","highest_education_A Level or Equivalent","highest_education_Lower Than A Level","highest_education_HE Qualification","highest_education_No Formal quals","highest_education_Post Graduate Qualification","imd_band_20-30%","imd_band_60-70%","imd_band_70-80%","imd_band_80-90%","imd_band_30-40%","imd_band_","imd_band_40-50%","imd_band_90-100%","imd_band_50-60%","imd_band_10-20","imd_band_0-10%","age_band_35-55","age_band_0-35","age_band_55<=","disability_N","disability_Y","year_2013","year_2014","semester_B","semester_J"
"22334","FFF","2013B","101306",0,0.162162162162162,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"23711","FFF","2013B","1034674",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"23712","FFF","2013B","1054876",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"22335","FFF","2013B","107162",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"23713","FFF","2013B","1073767",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"22337","FFF","2013B","108330",0.2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"23714","FFF","2013B","1090738",0.2,0.243243243243243,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"23715","FFF","2013B","1097354",0,0.0810810810810811,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"22338","FFF","2013B","110085",0.2,0.675675675675676,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"22339","FFF","2013B","110116",0.2,0.243243243243243,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
"22340","FFF","2013B","111775",0.2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"23716","FFF","2013B","1118284",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"22342","FFF","2013B","115373",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
"22343","FFF","2013B","118532",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"22344","FFF","2013B","118668",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
"22345","FFF","2013B","119353",0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"22346","FFF","2013B","125996",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0
"22347","FFF","2013B","126088",0.2,0.162162162162162,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"22348","FFF","2013B","128142",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
"22350","FFF","2013B","130403",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"22351","FFF","2013B","131272",0,0.162162162162162,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0
"23717","FFF","2013B","1337055",0.2,0.243243243243243,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
