"","id_student","Decile","Avg_Clicks","Asgmts","Avg_Asgmt_Score","final_result"
"163197","101306",0,2.15909090909091,0,0,"Fail"
"163198","101306",1,23.2608695652174,1,70,"Fail"
"163200","101306",2,0.708333333333333,0,70,"Fail"
"163201","101306",3,0.708333333333333,0,70,"Fail"
"163202","101306",4,6.95833333333333,0,70,"Fail"
"163203","101306",5,1.20833333333333,1,49,"Fail"
"163204","101306",6,0,0,49,"Fail"
"163205","101306",7,0,0,49,"Fail"
"163206","101306",8,0,0,49,"Fail"
"163207","101306",9,0,0,49,"Fail"
"163199","101306",10,0,0,49,"Fail"
"163208","1034674",0,6.19626168224299,0,0,"Pass"
"163209","1034674",1,34.0869565217391,1,88,"Pass"
"163211","1034674",2,22.625,2,88.6666666666667,"Pass"
"163212","1034674",3,20.2083333333333,1,88,"Pass"
"163213","1034674",4,29.4166666666667,2,88.6666666666667,"Pass"
"163214","1034674",5,19.5833333333333,0,88.6666666666667,"Pass"
"163215","1034674",6,26.7083333333333,2,87.875,"Pass"
"163216","1034674",7,12.7916666666667,0,87.875,"Pass"
"163217","1034674",8,13.6666666666667,2,87.8,"Pass"
"163218","1034674",9,15.875,0,87.8,"Pass"
"163210","1034674",10,38.4583333333333,2,88.9166666666667,"Pass"
"163219","1054876",0,1.80952380952381,0,0,"Fail"
"163220","1054876",1,16.2173913043478,1,76,"Fail"
"163222","1054876",2,8.66666666666667,0,76,"Fail"
"163223","1054876",3,12.75,1,69,"Fail"
"163224","1054876",4,2.54166666666667,0,69,"Fail"
"163225","1054876",5,0,0,69,"Fail"
"163226","1054876",6,0,0,69,"Fail"
"163227","1054876",7,0.416666666666667,0,69,"Fail"
"163228","1054876",8,0,0,69,"Fail"
"163229","1054876",9,0.375,0,69,"Fail"
"163221","1054876",10,0,0,69,"Fail"
"163230","107162",0,2.23214285714286,0,0,"Distinction"
"163231","107162",1,21.7826086956522,1,82,"Distinction"
"163233","107162",2,19,1,85.5,"Distinction"
"163234","107162",3,13.2916666666667,1,88.3333333333333,"Distinction"
"163235","107162",4,14.5833333333333,1,90,"Distinction"
"163236","107162",5,10.75,1,89.6,"Distinction"
"163237","107162",6,24,2,88.8571428571429,"Distinction"
"163238","107162",7,8.58333333333333,0,88.8571428571429,"Distinction"
"163239","107162",8,14.1666666666667,2,86.8888888888889,"Distinction"
"163240","107162",9,8.125,1,86.2,"Distinction"
"163232","107162",10,35.0416666666667,2,86.25,"Distinction"
"163241","1073767",0,2.63636363636364,0,0,"Pass"
"163242","1073767",1,43.3913043478261,1,90,"Pass"
"163244","1073767",2,28.9166666666667,0,90,"Pass"
"163245","1073767",3,20.75,1,89,"Pass"
"163246","1073767",4,24.6666666666667,2,87.75,"Pass"
"163247","1073767",5,33.5833333333333,2,85.5,"Pass"
"163248","1073767",6,14.6666666666667,2,85.875,"Pass"
"163249","1073767",7,19.375,0,85.875,"Pass"
"163250","1073767",8,5.5,1,86.6666666666667,"Pass"
"163251","1073767",9,7.79166666666667,0,86.6666666666667,"Pass"
"163243","1073767",10,46.25,3,85,"Pass"
"163252","108330",0,2.77011494252874,0,0,"Pass"
"163253","108330",1,24.8260869565217,2,79,"Pass"
"163255","108330",2,4.5,0,79,"Pass"
"163256","108330",3,13.0416666666667,2,74.25,"Pass"
"163257","108330",4,13.3333333333333,0,74.25,"Pass"
"163258","108330",5,8.75,2,64.6666666666667,"Pass"
"163259","108330",6,6.66666666666667,0,64.6666666666667,"Pass"
"163260","108330",7,11.5416666666667,1,61.2857142857143,"Pass"
"163261","108330",8,22.625,3,59.9,"Pass"
"163262","108330",9,1.29166666666667,0,59.9,"Pass"
"163254","108330",10,12.375,2,58.75,"Pass"
"163263","1090738",0,0,0,0,"Fail"
"163264","1090738",1,7.82608695652174,1,78,"Fail"
"163266","1090738",2,0.958333333333333,0,78,"Fail"
"163267","1090738",3,3.45833333333333,1,78,"Fail"
"163268","1090738",4,1.75,0,78,"Fail"
"163269","1090738",5,2.125,1,75.3333333333333,"Fail"
"163270","1090738",6,1.125,0,75.3333333333333,"Fail"
"163271","1090738",7,6.33333333333333,0,75.3333333333333,"Fail"
"163272","1090738",8,4.08333333333333,1,75.75,"Fail"
"163273","1090738",9,1.08333333333333,0,75.75,"Fail"
"163265","1090738",10,0,0,75.75,"Fail"
"163274","1097354",0,1.5,0,0,"Pass"
"163275","1097354",1,22.4782608695652,0,0,"Pass"
"163277","1097354",2,5.875,1,94,"Pass"
"163278","1097354",3,7.54166666666667,1,88,"Pass"
"163279","1097354",4,2.125,0,88,"Pass"
"163280","1097354",5,10.125,1,80,"Pass"
"163281","1097354",6,10.0416666666667,0,80,"Pass"
"163282","1097354",7,16.125,1,83,"Pass"
"163283","1097354",8,18.9166666666667,1,86,"Pass"
"163284","1097354",9,1.29166666666667,0,86,"Pass"
"163276","1097354",10,18.2916666666667,0,86,"Pass"
"163285","110085",0,1,0,0,"Fail"
"163286","110085",1,8.65217391304348,1,86,"Fail"
"163288","110085",2,0.333333333333333,0,86,"Fail"
"163289","110085",3,8.625,1,85,"Fail"
"163290","110085",4,0.0833333333333333,0,85,"Fail"
"163291","110085",5,3.08333333333333,1,62,"Fail"
"163292","110085",6,2.91666666666667,0,62,"Fail"
"163293","110085",7,1.66666666666667,1,59.25,"Fail"
"163294","110085",8,9.5,1,59,"Fail"
"163295","110085",9,0.0416666666666667,0,59,"Fail"
"163287","110085",10,29.5416666666667,3,66,"Fail"
"163296","110116",0,2.23684210526316,0,0,"Pass"
"163297","110116",1,10.5217391304348,1,88,"Pass"
"163299","110116",2,23.5416666666667,0,88,"Pass"
"163300","110116",3,12.25,3,90.5,"Pass"
"163301","110116",4,2.70833333333333,0,90.5,"Pass"
"163302","110116",5,9.875,2,87.8333333333333,"Pass"
"163303","110116",6,22.7083333333333,1,85.5714285714286,"Pass"
"163304","110116",7,39.6666666666667,2,85.5555555555556,"Pass"
"163305","110116",8,9.08333333333333,1,85.2,"Pass"
"163306","110116",9,12.8333333333333,2,84.1666666666667,"Pass"
"163298","110116",10,13.125,0,84.1666666666667,"Pass"
"163307","111775",0,2.23611111111111,0,0,"Pass"
"163308","111775",1,23.6086956521739,1,84,"Pass"
"163310","111775",2,11.7916666666667,1,83.5,"Pass"
"163311","111775",3,19.875,2,89.5,"Pass"
"163312","111775",4,12.875,1,88.2,"Pass"
"163313","111775",5,10.7083333333333,2,88,"Pass"
"163314","111775",6,13.0416666666667,2,88,"Pass"
"163315","111775",7,19.8333333333333,0,88,"Pass"
"163316","111775",8,9,3,88.9166666666667,"Pass"
"163317","111775",9,4.91666666666667,0,88.9166666666667,"Pass"
"163309","111775",10,0,0,88.9166666666667,"Pass"
"163318","1118284",0,3.22222222222222,0,0,"Pass"
"163319","1118284",1,13.3478260869565,2,89.5,"Pass"
"163321","1118284",2,20.0833333333333,2,89,"Pass"
"163322","1118284",3,8.45833333333333,0,89,"Pass"
"163323","1118284",4,16.125,2,89.5,"Pass"
"163324","1118284",5,14.0833333333333,0,89.5,"Pass"
"163325","1118284",6,12.75,2,90.375,"Pass"
"163326","1118284",7,21.6666666666667,1,90.8888888888889,"Pass"
"163327","1118284",8,10.7083333333333,1,91.3,"Pass"
"163328","1118284",9,14.2916666666667,0,91.3,"Pass"
"163320","1118284",10,11.9583333333333,2,91.9166666666667,"Pass"
"163329","115373",0,2.93333333333333,0,0,"Pass"
"163330","115373",1,13.8695652173913,1,90,"Pass"
"163332","115373",2,20.9166666666667,1,89,"Pass"
"163333","115373",3,7.33333333333333,1,88,"Pass"
"163334","115373",4,4.29166666666667,0,88,"Pass"
"163335","115373",5,3.20833333333333,1,84.5,"Pass"
"163336","115373",6,19.375,2,84.5,"Pass"
"163337","115373",7,18.5,2,83.25,"Pass"
"163338","115373",8,10.7916666666667,2,83.5,"Pass"
"163339","115373",9,3.625,0,83.5,"Pass"
"163331","115373",10,17.625,2,81.75,"Pass"
"163340","118532",0,2.58139534883721,0,0,"Pass"
"163341","118532",1,8.1304347826087,1,92,"Pass"
"163343","118532",2,19.2916666666667,1,91,"Pass"
"163344","118532",3,7.66666666666667,1,88,"Pass"
"163345","118532",4,18.7083333333333,1,90.25,"Pass"
"163346","118532",5,5.79166666666667,1,89.2,"Pass"
"163347","118532",6,29.4583333333333,2,88.1428571428571,"Pass"
"163348","118532",7,7.83333333333333,0,88.1428571428571,"Pass"
"163349","118532",8,25.7916666666667,2,88.2222222222222,"Pass"
"163350","118532",9,34.2916666666667,3,86.4166666666667,"Pass"
"163342","118532",10,9.58333333333333,0,86.4166666666667,"Pass"
"163351","118668",0,1.75,0,0,"Pass"
"163352","118668",1,23.2608695652174,1,70,"Pass"
"163354","118668",2,12.4166666666667,0,70,"Pass"
"163355","118668",3,7.33333333333333,1,64,"Pass"
"163356","118668",4,2.25,0,64,"Pass"
"163357","118668",5,1.875,1,69.6666666666667,"Pass"
"163358","118668",6,8.66666666666667,1,71.25,"Pass"
"163359","118668",7,18.4583333333333,0,71.25,"Pass"
"163360","118668",8,15,1,73.6,"Pass"
"163361","118668",9,5.5,2,76.5714285714286,"Pass"
"163353","118668",10,26.0833333333333,1,78.875,"Pass"
"163362","119353",0,1.70588235294118,0,0,"Pass"
"163363","119353",1,12.4782608695652,1,78,"Pass"
"163365","119353",2,14.1666666666667,0,78,"Pass"
"163366","119353",3,25.5,3,87.75,"Pass"
"163367","119353",4,13.2916666666667,0,87.75,"Pass"
"163368","119353",5,15.75,1,85.6,"Pass"
"163369","119353",6,8.375,1,86.6666666666667,"Pass"
"163370","119353",7,10.875,0,86.6666666666667,"Pass"
"163371","119353",8,9.83333333333333,1,86.5714285714286,"Pass"
"163372","119353",9,2.95833333333333,0,86.5714285714286,"Pass"
"163364","119353",10,29.375,5,85.8333333333333,"Pass"
"163373","125996",0,3.68292682926829,0,0,"Pass"
"163374","125996",1,6.17391304347826,0,0,"Pass"
"163376","125996",2,21.6666666666667,3,83,"Pass"
"163377","125996",3,13.3333333333333,1,82.75,"Pass"
"163378","125996",4,15.0416666666667,0,82.75,"Pass"
"163379","125996",5,6,1,80.4,"Pass"
"163380","125996",6,8.58333333333333,2,78.7142857142857,"Pass"
"163381","125996",7,19.2916666666667,2,79.4444444444444,"Pass"
"163382","125996",8,16.0833333333333,1,79.8,"Pass"
"163383","125996",9,6.70833333333333,1,79.0909090909091,"Pass"
"163375","125996",10,17,1,78.9166666666667,"Pass"
"163384","126088",0,1.8,0,0,"Fail"
"163385","126088",1,9.39130434782609,1,60,"Fail"
"163387","126088",2,2.33333333333333,0,60,"Fail"
"163388","126088",3,5,1,55,"Fail"
"163389","126088",4,3.66666666666667,0,55,"Fail"
"163390","126088",5,1.875,1,51.3333333333333,"Fail"
"163391","126088",6,3.08333333333333,0,51.3333333333333,"Fail"
"163392","126088",7,8.70833333333333,1,47.25,"Fail"
"163393","126088",8,9.66666666666667,1,37.8,"Fail"
"163394","126088",9,0.625,0,37.8,"Fail"
"163386","126088",10,0.0416666666666667,0,37.8,"Fail"
"163395","128142",0,2,0,0,"Fail"
"163396","128142",1,30.4347826086957,2,80,"Fail"
"163398","128142",2,16.0416666666667,2,84.75,"Fail"
"163399","128142",3,10.5,1,80.6,"Fail"
"163400","128142",4,4.41666666666667,0,80.6,"Fail"
"163401","128142",5,3.83333333333333,2,74.7142857142857,"Fail"
"163402","128142",6,3.25,1,69.125,"Fail"
"163403","128142",7,0,0,69.125,"Fail"
"163404","128142",8,0,0,69.125,"Fail"
"163405","128142",9,0,0,69.125,"Fail"
"163397","128142",10,0,0,69.125,"Fail"
"163406","130403",0,1.67741935483871,0,0,"Pass"
"163407","130403",1,14,1,60,"Pass"
"163409","130403",2,23.8333333333333,0,60,"Pass"
"163410","130403",3,19.5833333333333,1,56,"Pass"
"163411","130403",4,17.0833333333333,1,64.6666666666667,"Pass"
"163412","130403",5,24.125,2,69.6,"Pass"
"163413","130403",6,21.375,2,67.1428571428571,"Pass"
"163414","130403",7,19.1666666666667,0,67.1428571428571,"Pass"
"163415","130403",8,33.75,1,66.625,"Pass"
"163416","130403",9,28.25,3,64.6363636363636,"Pass"
"163408","130403",10,26.25,1,65,"Pass"
"163417","131272",0,2.89473684210526,0,0,"Pass"
"163418","131272",1,22.9130434782609,1,76,"Pass"
"163420","131272",2,18.7916666666667,0,76,"Pass"
"163421","131272",3,13.6666666666667,2,72.6666666666667,"Pass"
"163422","131272",4,20.5,0,72.6666666666667,"Pass"
"163423","131272",5,3.79166666666667,1,70.5,"Pass"
