"","id_student","code_presentation","Decile","Avg_Clicks","Asgmts","Avg_Asgmt_Score","final_result"
"104974","101306","2013B",0,2.15909090909091,0,0,"Fail"
"104975","101306","2013B",1,23.2608695652174,1,70,"Fail"
"104977","101306","2013B",2,0.708333333333333,0,70,"Fail"
"104978","101306","2013B",3,0.708333333333333,0,70,"Fail"
"104979","101306","2013B",4,6.95833333333333,0,70,"Fail"
"104980","101306","2013B",5,1.20833333333333,1,49,"Fail"
"104981","101306","2013B",6,0,0,49,"Fail"
"104982","101306","2013B",7,0,0,49,"Fail"
"104983","101306","2013B",8,0,0,49,"Fail"
"104984","101306","2013B",9,0,0,49,"Fail"
"104976","101306","2013B",10,0,0,49,"Fail"
"104985","1034674","2013B",0,6.19626168224299,0,0,"Pass"
"104986","1034674","2013B",1,34.0869565217391,1,88,"Pass"
"104988","1034674","2013B",2,22.625,2,88.6666666666667,"Pass"
"104989","1034674","2013B",3,20.2083333333333,1,88,"Pass"
"104990","1034674","2013B",4,29.4166666666667,2,88.6666666666667,"Pass"
"104991","1034674","2013B",5,19.5833333333333,0,88.6666666666667,"Pass"
"104992","1034674","2013B",6,26.7083333333333,2,87.875,"Pass"
"104993","1034674","2013B",7,12.7916666666667,0,87.875,"Pass"
"104994","1034674","2013B",8,13.6666666666667,2,87.8,"Pass"
"104995","1034674","2013B",9,15.875,0,87.8,"Pass"
"104987","1034674","2013B",10,38.4583333333333,2,88.9166666666667,"Pass"
"104996","1054876","2013B",0,1.80952380952381,0,0,"Fail"
"104997","1054876","2013B",1,16.2173913043478,1,76,"Fail"
"104999","1054876","2013B",2,8.66666666666667,0,76,"Fail"
"105000","1054876","2013B",3,12.75,1,69,"Fail"
"105001","1054876","2013B",4,2.54166666666667,0,69,"Fail"
"105002","1054876","2013B",5,0,0,69,"Fail"
"105003","1054876","2013B",6,0,0,69,"Fail"
"105004","1054876","2013B",7,0.416666666666667,0,69,"Fail"
"105005","1054876","2013B",8,0,0,69,"Fail"
"105006","1054876","2013B",9,0.375,0,69,"Fail"
