"","id_student","Decile","Avg_Clicks","Asgmts","Avg_Asgmt_Score","final_result"
"6843","1008675",0,2.18181818181818,0,0,"Pass"
"6844","1008675",1,12.3913043478261,1,70,"Pass"
"6846","1008675",2,12.875,1,65,"Pass"
"6847","1008675",3,7.25,1,56.6666666666667,"Pass"
"6848","1008675",4,5.16666666666667,1,55.25,"Pass"
"6849","1008675",5,4.33333333333333,1,64.2,"Pass"
"6850","1008675",6,5.16666666666667,2,70.5714285714286,"Pass"
"6851","1008675",7,7,2,73.7777777777778,"Pass"
"6852","1008675",8,7.79166666666667,2,76.9090909090909,"Pass"
"6853","1008675",9,3,0,76.9090909090909,"Pass"
"6845","1008675",10,7.95833333333333,0,76.9090909090909,"Pass"
"6854","104054",0,3,0,0,"Distinction"
"6855","104054",1,21.0434782608696,1,87,"Distinction"
"6857","104054",2,8.75,0,87,"Distinction"
"6858","104054",3,3.125,2,92.3333333333333,"Distinction"
"6859","104054",4,6.29166666666667,1,93.5,"Distinction"
"6860","104054",5,4.66666666666667,1,94.8,"Distinction"
"6861","104054",6,1.79166666666667,2,94.1428571428571,"Distinction"
"6862","104054",7,5.04166666666667,2,94,"Distinction"
"6863","104054",8,1.95833333333333,2,94.6363636363636,"Distinction"
"6864","104054",9,1.58333333333333,0,94.6363636363636,"Distinction"
"6856","104054",10,3.16666666666667,0,94.6363636363636,"Distinction"
"6865","108377",0,4.22413793103448,0,0,"Pass"
"6866","108377",1,27.7826086956522,1,87,"Pass"
"6868","108377",2,13.9583333333333,1,85,"Pass"
"6869","108377",3,13.625,1,83.3333333333333,"Pass"
"6870","108377",4,7.58333333333333,1,81.75,"Pass"
"6871","108377",5,4.75,1,85.4,"Pass"
"6872","108377",6,3.41666666666667,2,82.7142857142857,"Pass"
"6873","108377",7,6.45833333333333,2,78.4444444444444,"Pass"
"6874","108377",8,1.83333333333333,1,78.6,"Pass"
"6875","108377",9,0,0,78.6,"Pass"
"6867","108377",10,2.79166666666667,0,78.6,"Pass"
"6876","108589",0,2.125,0,0,"Pass"
"6877","108589",1,4.8695652173913,1,73,"Pass"
"6879","108589",2,1.45833333333333,0,73,"Pass"
"6880","108589",3,0.916666666666667,2,88.3333333333333,"Pass"
"6881","108589",4,3.58333333333333,1,84.5,"Pass"
"6882","108589",5,1.5,1,87.6,"Pass"
"6883","108589",6,1.33333333333333,2,87,"Pass"
"6884","108589",7,1.08333333333333,2,88,"Pass"
"6885","108589",8,0.625,2,88.7272727272727,"Pass"
"6886","108589",9,0,0,88.7272727272727,"Pass"
"6878","108589",10,0.291666666666667,0,88.7272727272727,"Pass"
"6887","1098728",0,2.125,0,0,"Fail"
"6888","1098728",1,4.26086956521739,1,75,"Fail"
"6890","1098728",2,1.29166666666667,0,75,"Fail"
"6891","1098728",3,2.625,1,87.5,"Fail"
"6892","1098728",4,1.75,1,79.6666666666667,"Fail"
"6893","1098728",5,0,1,74.75,"Fail"
"6894","1098728",6,2.33333333333333,2,75.6666666666667,"Fail"
"6895","1098728",7,1.375,2,70.625,"Fail"
"6896","1098728",8,1,1,71.6666666666667,"Fail"
"6897","1098728",9,0.0833333333333333,0,71.6666666666667,"Fail"
"6889","1098728",10,0.208333333333333,0,71.6666666666667,"Fail"
"6898","109938",0,0,0,0,"Distinction"
"6899","109938",1,4.82608695652174,1,87,"Distinction"
"6901","109938",2,1.875,1,84,"Distinction"
"6902","109938",3,1.70833333333333,1,82.6666666666667,"Distinction"
"6903","109938",4,1,1,83.25,"Distinction"
"6904","109938",5,1.375,1,86.6,"Distinction"
"6905","109938",6,1.45833333333333,2,86.1428571428571,"Distinction"
"6906","109938",7,1.625,2,88.4444444444444,"Distinction"
"6907","109938",8,0.25,2,89.8181818181818,"Distinction"
"6908","109938",9,0.5,0,89.8181818181818,"Distinction"
"6900","109938",10,0.541666666666667,0,89.8181818181818,"Distinction"
"6909","110881",0,0,0,0,"Pass"
"6910","110881",1,10.3478260869565,1,75,"Pass"
"6912","110881",2,5.5,1,67,"Pass"
"6913","110881",3,1.5,1,78,"Pass"
"6914","110881",4,2.66666666666667,1,74.5,"Pass"
"6915","110881",5,1.20833333333333,1,79.6,"Pass"
"6916","110881",6,0.75,2,78.1428571428571,"Pass"
"6917","110881",7,1.75,2,76.7777777777778,"Pass"
"6918","110881",8,1.625,2,77.9090909090909,"Pass"
"6919","110881",9,1,0,77.9090909090909,"Pass"
"6911","110881",10,2.83333333333333,0,77.9090909090909,"Pass"
"6920","116603",0,5.07692307692308,0,0,"Distinction"
"6921","116603",1,8.26086956521739,1,83,"Distinction"
"6923","116603",2,4.79166666666667,1,79.5,"Distinction"
"6924","116603",3,1.625,1,86.3333333333333,"Distinction"
"6925","116603",4,3.33333333333333,1,84.5,"Distinction"
"6926","116603",5,0.458333333333333,1,87.6,"Distinction"
"6927","116603",6,4,2,89,"Distinction"
"6928","116603",7,5.875,1,90.375,"Distinction"
"6929","116603",8,4.75,2,90.4,"Distinction"
"6930","116603",9,4.70833333333333,0,90.4,"Distinction"
"6922","116603",10,3.29166666666667,0,90.4,"Distinction"
"6931","117071",0,0,0,0,"Fail"
"6932","117071",1,0,0,0,"Fail"
